attack,snr_db,si_sdr,ber,nc,lap_mse,ssim
No_Attack_Baseline,7.73431688540296,6.933004078532763,0.0,1.0,0.0,1.0
LPF_4000Hz,6.80852285636125,5.794669504647594,0.0199601593625498,0.9600796812749004,0.38083665338645417,0.5985096013275463
HPF_100Hz,1.742100219944256,-2.867703356754941,0.32209163346613545,0.3558167330677291,3.7486852589641435,0.15934449404038462
CROP_20pct,4.748754808870328,2.976569702495973,0.10382470119521912,0.7923505976095617,1.8079681274900399,0.2633580569382349
GAUSS_noise_20dB,7.525086184908682,6.682502577668714,0.0035657370517928285,0.9928685258964144,0.04318725099601593,0.9885353994191076
MP3_128kbps,7.661597544902518,6.908609474423805,0.0007768924302788844,0.9984462151394422,0.014780876494023905,0.9725437695401213
MP3_64kbps,7.379257751585673,6.538283161933631,0.0749203187250996,0.8501593625498008,1.3170517928286853,0.3569128934920276
MP3_32kbps,6.668730963491193,5.642823799296779,0.1799601593625498,0.6400796812749004,2.810637450199203,0.181021165839493
Re_recording,1.841696975816339,-0.274418664468495,0.48266932270916335,0.034661354581673305,5.262111553784861,0.007757194649099511
Random_time_scaling,-1.457080235200031,-38.570578076769706,0.4988247011952191,0.002350597609561753,5.312948207171314,0.00214226934240753
